source_mat_id,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample,ref_code,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_HCMR-1_Wa_210628_3um_1,EMO BON HCMR-1 Wa 210628 3um_1,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28,HCMR-1_Wa_210628,Maria Maindanou,,no_tide,<class 'float'>,1,30.0,<class 'float'>,3-200,3.0,200.0,True,Jerrycan,WaSOP 1,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,False,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00068,0.236,TD-700 Laboratory Fluorometer,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_210628_3um_2,EMO BON HCMR-1 Wa 210628 3um_2,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28,HCMR-1_Wa_210628,Maria Maindanou,,no_tide,<class 'float'>,2,30.0,<class 'float'>,3-200,3.0,200.0,True,Jerrycan,WaSOP 1,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,False,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,True,low yields; seq library prep failed,,EMOBON00069,0.236,TD-700 Laboratory Fluorometer,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_210628_0.2um_1,EMO BON HCMR-1 Wa 210628 0.22um_1,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28,HCMR-1_Wa_210628,Maria Maindanou,,no_tide,<class 'float'>,1,30.0,<class 'float'>,0.2-3,0.2,3.0,True,Jerrycan,WaSOP 1,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,False,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00071,0.236,TD-700 Laboratory Fluorometer,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_210628_0.2um_2,EMO BON HCMR-1 Wa 210628 0.22um_2,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28,HCMR-1_Wa_210628,Maria Maindanou,,no_tide,<class 'float'>,2,30.0,<class 'float'>,0.2-3,0.2,3.0,True,Jerrycan,WaSOP 1,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,False,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00072,0.236,TD-700 Laboratory Fluorometer,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_210917_3um_1,EMO BON HCMR-1 Wa 210917 3um_1,EMOBON metagenome water sample from station HCMR-1 collected on 2021-09-17 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17,HCMR-1_Wa_210917,Apostolos Kristallas,,no_tide,<class 'float'>,1,30.0,<class 'float'>,3-200,3.0,200.0,True,Jerrycan,WaSOP 1,,2021-09-17,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,False,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,True,low yields; seq library prep failed,,EMOBON00074,0.05,TD-700 Laboratory Fluorometer,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_210917_3um_2,EMO BON HCMR-1 Wa 210917 3um_2,EMOBON metagenome water sample from station HCMR-1 collected on 2021-09-17 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17,HCMR-1_Wa_210917,Apostolos Kristallas,,no_tide,<class 'float'>,2,30.0,<class 'float'>,3-200,3.0,200.0,True,Jerrycan,WaSOP 1,,2021-09-17,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,False,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,True,low yields; seq library prep failed,,EMOBON00075,0.05,TD-700 Laboratory Fluorometer,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_210917_0.2um_1,EMO BON HCMR-1 Wa 210917 0.22um_1,EMOBON metagenome water sample from station HCMR-1 collected on 2021-09-17 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17,HCMR-1_Wa_210917,Apostolos Kristallas,,no_tide,<class 'float'>,1,30.0,<class 'float'>,3-200,0.2,3.0,True,Jerrycan,WaSOP 1,,2021-09-17,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,False,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,True,low yields; seq library prep failed,,EMOBON00077,0.05,TD-700 Laboratory Fluorometer,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_210917_0.2um_2,EMO BON HCMR-1 Wa 210917 0.22um_2,EMOBON metagenome water sample from station HCMR-1 collected on 2021-09-17 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17,HCMR-1_Wa_210917,Apostolos Kristallas,,no_tide,<class 'float'>,2,30.0,<class 'float'>,3-200,0.2,3.0,True,Jerrycan,WaSOP 1,,2021-09-17,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,False,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,True,low yields; seq library prep failed,,EMOBON00078,0.05,TD-700 Laboratory Fluorometer,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_210917_3um_blank1,EMO BON HCMR-1 Wa 210917 3um_Blank,EMOBON metagenome water sample from station HCMR-1 collected on 2021-09-17 size fraction 3-200um,32644,unidentified,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17,HCMR-1_Wa_210917,Apostolos Kristallas,,no_tide,<class 'float'>,blank,30.0,<class 'float'>,3-200,3.0,200.0,False,Jerrycan,WaSOP 1,,2021-09-17,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,False,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_210917_0.2um_blank1,EMO BON HCMR-1 Wa 210917 0.22um_Blank,EMOBON metagenome water sample from station HCMR-1 collected on 2021-09-17 size fraction 0.2-3um,32644,unidentified,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17,HCMR-1_Wa_210917,Apostolos Kristallas,,no_tide,<class 'float'>,blank,30.0,<class 'float'>,0.2-3,0.2,3.0,False,Jerrycan,WaSOP 1,,2021-09-17,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,False,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,,,,EMOBON00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
