source_mat_id,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample,ref_code,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_RFormosa_Wa_210805_3um_1,EMO BON RFormosa Wa 210805 3um_1,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-08-05,RFormosa_Wa_210805,Bruno Louro,0000-0001-8164-581X,low_tide,<class 'float'>,1,5.0,fi,3-200,3.0,200.0,True,bucket,WaSOP 1,peristaltic pump,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2021-10-12,2021-10-19,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00041,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,272.0,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_210805_3um_2,EMO BON RFormosa Wa 210805 3um_2,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-08-05,RFormosa_Wa_210805,Bruno Louro,0000-0001-8164-581X,low_tide,<class 'float'>,2,5.0,fi,3-200,3.0,200.0,True,bucket,WaSOP 1,peristaltic pump,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2021-10-12,2021-10-19,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00042,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,272.0,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_210805_0.2um_1,EMO BON RFormosa Wa 210805 0.22um_1,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-08-05,RFormosa_Wa_210805,Bruno Louro,0000-0001-8164-581X,low_tide,<class 'float'>,1,5.0,fi,0.2-3,0.2,3.0,True,bucket,WaSOP 1,peristaltic pump,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2021-10-12,2021-10-19,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00043,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,272.0,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_210805_0.2um_2,EMO BON RFormosa Wa 210805 0.22um_2,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-08-05,RFormosa_Wa_210805,Bruno Louro,0000-0001-8164-581X,low_tide,<class 'float'>,2,5.0,fi,0.2-3,0.2,3.0,True,bucket,WaSOP 1,peristaltic pump,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2021-10-12,2021-10-19,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00044,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,272.0,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211022_3um_1,EMO BON RFormosa Wa 211022 3um_1,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,<class 'float'>,1,5.0,fi,3-200,3.0,200.0,True,bucket,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,EMOBON00214,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211022_3um_2,EMO BON RFormosa Wa 211022 3um_2,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,<class 'float'>,2,5.0,fi,3-200,3.0,200.0,True,bucket,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,EMOBON00215,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211022_0.2um_1,EMO BON RFormosa Wa 211022 0.22um_1,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,<class 'float'>,1,5.0,fi,0.2-3,0.2,3.0,True,bucket,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,EMOBON00216,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211022_0.2um_2,EMO BON RFormosa Wa 211022 0.22um_2,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,<class 'float'>,2,5.0,fi,0.2-3,0.2,3.0,True,bucket,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,EMOBON00217,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_3um_1,EMO BON RFormosa Wa 211220 3um_1,EMOBON metagenome water sample from station RFormosa collected on 2021-12-20 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-12-20,RFormosa_Wa_211220,Bruno Louro,0000-0001-8164-581X,low_tide,<class 'float'>,1,5.0,fi,3-200,3.0,200.0,True,bucket,WaSOP 1,peristaltic pump,2021-12-20,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,EMOBON00218,3.98132,Fluorometer 10-AU,15.0,Thermo scientific  orion star A221,15.0,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.0,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_3um_2,EMO BON RFormosa Wa 211220 3um_2,EMOBON metagenome water sample from station RFormosa collected on 2021-12-20 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-12-20,RFormosa_Wa_211220,Bruno Louro,0000-0001-8164-581X,low_tide,<class 'float'>,2,5.0,fi,3-200,3.0,200.0,True,bucket,WaSOP 1,peristaltic pump,2021-12-20,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,EMOBON00219,3.98132,Fluorometer 10-AU,15.0,Thermo scientific  orion star A221,15.0,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.0,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
